EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,,569 BROADWAY,NEWARK,NJ,07104-4132,0,3,3,7000,197912,1,10,1000000,1,1,,0,0,6,0,12,,,,,
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,,PO BOX 102,DEERFIELD ST,NJ,08313-0102,0,3,3,7100,200308,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10015091,HANOVER SOCCER CLUB INC,,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013,0,3,3,1000,201210,1,16,0,1,1,201212,3,4,1,0,12,51037,106684,106684,N64,
10271792,BEARNSTOW,% RUTH GRAUERT,83 SANFORD PL,JERSEY CITY,NJ,07307-3724,0,3,3,1200,201406,1,16,298325059,1,1,201310,0,0,1,0,10,0,0,0,N20,CAMP BEARNSTOW
10430129,THE JOAN WHITNEY AND CHARLES SHIPMAN FOUNDATION,% GLC,1 INTL BLVD 700,MAHWAH,NJ,07495-0000,0,3,3,1000,198712,1,4,602600603,2,1,201310,1,4,0,1,10,2881,379371,,,
10433461,MEDICAL DOSIMETRIST CERTIFICATION BOARD,% DEBRA ZOELLER,15000 COMMERCE PKWY STE C,MOUNT LAUREL,NJ,08054-2212,0,6,3,2000,199402,2,0,205203000,1,1,201309,6,6,1,0,9,1487600,1898040,698706,,DEPT OF RADIATION ONCOLOGY
10471744,ASME STUDENT SECTION UNIVERSITY OF MAINE,% AMERICAN SOCIETY OF MECHANICAL,22 LAW DR,FAIRFIELD,NJ,07004-3218,9203,3,9,2000,199110,1,16,0,5,1,,0,0,2,0,6,,,,,
10471832,ASME STUDENT SECTION MAINE MARITIME ACADEMY,% AMERICAN SOCIETY OF MECHANICAL,22 LAW DR,FAIRFIELD,NJ,07004-3218,9203,3,9,2000,199110,1,16,0,5,1,,0,0,2,0,6,,,,,
10485964,JANET H AND C HARRY KNOWLES FOUNDATION INC,% C HARRY KNOWLES,1000 N CHURCH ST,MOORESTOWN,NJ,08057-1764,0,3,3,1000,200402,1,3,0,1,1,201305,9,7,0,1,5,70321523,6396085,,P99,
10505213,TRUSTEES OF PRINCETON UNIVERSITY,,PO BOX 291,PRINCETON,NJ,08544-0001,9126,3,9,1000,198402,0,16,30000000,1,1,,0,0,2,0,6,,,,,MAINE PRINCETON ALUMNI ASSN
10548602,SHEPARDS CORNERSTONE FOUNDATION INC,% L WOLLIN,124 PROSPECT ST,RIDGEWOOD,NJ,07450-4406,0,3,3,2000,200207,1,3,0,1,1,201309,6,6,0,1,9,1203258,1147908,,A51,
10548750,COOK COLLEGE PARENTS ASSOCIATION,% RICHARD GALLAGHER,1 ALPINE CT,E BRUNSWICK,NJ,08816-4215,0,3,3,1000,200204,1,16,0,1,1,201112,0,0,2,0,12,0,0,0,B94,
10549394,FRIENDSHIP OUTREACH DELIVERANCE MINISTRIES INC,,PO BOX 781,MAYS LANDING,NJ,08330-0781,0,3,3,7000,200202,1,10,0,1,1,,0,0,6,0,12,,,,X21,THEODORA ROBINSON
10549413,ASSOCIATION FOR THE DEVELOPMENT OF LAZILE INC,% SEVERE JACQUET,241 W 5TH AVE,ROSELLE,NJ,07203-1139,0,3,3,2000,200404,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,W12,
10550737,AMERICAN AMATEUR SAMBO FEDERATION INC,% J KOGAN,39 TRISH CT,MATAWAN,NJ,07747-7006,0,3,3,1000,200608,1,15,0,1,1,201312,2,4,1,0,12,19903,140661,140661,N70,
10551182,CENTER HEART INC,% PATRICIA W HESS,65 GOVERNORS LN,PRINCETON,NJ,08540-3672,0,3,3,7200,200410,1,10,0,1,1,,0,0,6,0,12,,,,,
10552945,HEARTFELT RESOURCES INC,% CHRISTINE ELLIS,309 EGOLF DR,RAHWAY,NJ,07065-4216,0,3,3,7000,200609,1,15,0,1,1,201306,0,0,2,0,6,0,0,0,O50,
10553478,EAST MOUNTAIN HOSPITAL INC,% MICHAEL VOORHEES,ROUTE 601 BLAWENBERG RD ADMIN BLDG,BELLE MEAD,NJ,08502-0000,0,3,3,1000,200204,1,12,0,1,1,201306,6,6,1,0,6,2669552,4620471,4620471,B99,
10554061,MOUNT EPHRAIM SENIOR HOUSING INITIATIVE INC,% PRD MANAGEMENT,4350 HADDONFIELD ROAD,PENNSAUKEN,NJ,08109-3377,0,3,3,1000,200205,1,16,0,1,1,201406,7,5,1,0,6,5515138,550986,550986,L22,
10557105,HOLY RENAISSANCE MINISTRIES,% KAWANA CARR,903 JUNIPER CT,SOMERSET,NJ,08873-1585,0,3,3,7000,200207,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10558214,LAND CONSERVANCY INC,% RONALD W BOGLE,27-41 HORSENECK ROAD,FAIRFIELD,NJ,07004-2487,0,3,3,1000,200309,1,4,0,1,1,201212,5,1,0,1,12,893833,10,,C340,
10562494,WARREN TOWNSHIP MIDDLE SCHOOL PTO,% B SAUMA,PO BOX 4435,WARREN,NJ,07059-0435,0,3,3,2000,200212,1,16,0,1,1,201307,4,4,1,0,7,105936,477597,174069,B94,
10562775,NEW JERSEY EMERGENCY PREPAREDNESS ASSOCIATION,% EDWARD CONOVER,PO BOX 962,MAYS LANDING,NJ,08330-0962,0,3,3,1000,200205,1,16,0,1,1,201312,4,4,1,0,12,208513,266119,266119,M41,
10562891,ATLANTIC CAPE FAMILY SERVICE ORGANIZATION,% JAMES LABREE,1601 TILTON RD STE 1,NORTHFIELD,NJ,08225-1858,0,3,3,1000,200207,1,15,0,1,1,201306,3,5,1,0,6,69263,646562,643882,P40,
10564863,ANIMAL LIFE SAVERS,% BARBARA BELLINO,PO BOX 12,PALISADES PK,NJ,07650-0012,0,3,3,1000,200312,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,D20,
10565301,DEVINE HEALERS CHURCH,% NATHANIEL LAMPTEY,PO BOX 1153,MAPLEWOOD,NJ,07040-0453,0,3,3,7000,200502,1,10,0,0,1,,3,3,6,0,12,,,,X21,
10570803,CHRISTOPHER DINCUFF MEMORIAL FUND INC,% JOAN DINCUFF,36 NEW ST,SOUTH RIVER,NJ,08882-2449,0,3,3,2000,200204,1,15,0,1,1,201312,4,2,2,0,12,162068,12679,12679,B82,
10575514,MOORESTOWN GARDEN CLUB,% CLORINDA MOORE,406 KINGS HWY,MOORESTOWN,NJ,08057-2771,0,3,3,1200,201202,1,16,0,1,1,201307,0,0,2,0,7,0,0,0,C42,
10575520,MERCK PATIENT ASSISTANCE PROGRAM INC,% MERCK & CO INC,PO BOX 100,WHITE HSE STA,NJ,08889-0100,0,3,3,1000,200308,1,3,0,1,1,201312,8,9,0,1,12,11124231,686800564,,T210,
10576142,BIAS YAAKOV COUNCIL INC,,PO BOX 1605,LAKEWOOD,NJ,08701-1018,0,3,3,7000,200206,1,10,0,1,1,,0,0,6,0,6,,,,X30,NEWHOUSE SHIMON
10577653,LADIES AUXILIARY OF THE NAVESINK HOOK & LADDER CO 1 OF NAVESINK NJ,% CHERYL KEENE,PO BOX 206,NAVESINK,NJ,07752-0206,0,3,3,1000,200212,1,16,0,5,1,201312,0,0,2,0,12,0,0,0,M11,
10579367,TURNING POINT COMMUNITY SERVICES,% MCCLOUD CHRISTINE,1011 GROVE STREET,IRVINGTON,NJ,07111-4221,0,3,3,1200,200210,1,15,0,1,1,201212,4,5,1,0,12,120510,763373,759083,L41,
10579647,NEW JERSEY NAVAL MILITIA FOUNDATION INC,,15 HAMILTON CT,WHIPPANY,NJ,07981-2015,0,3,3,1200,200208,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,W115,
10581385,LIGGETT BOULVARD INC,% AMARILIS DUARTE,PO BOX 64,RARITAN,NJ,08869-0064,0,3,3,1000,200207,1,15,0,1,1,201312,4,3,2,0,12,290468,31095,31095,L121,
10582162,CONTEXTUAL FAMILY SERVICES A NJ NON-PROFIT CORP,% JEAN BANTI,9 CARDINAL WAY,FLEMINGTON,NJ,08822-4931,0,3,3,5000,200204,1,15,0,1,1,201312,4,4,1,0,12,109498,273149,273149,I72,
10583786,MIDDLETOWN WTC MEMORIAL GARDENS FUND,,1 KINGS HWY,MIDDLETOWN,NJ,07748-2502,0,3,3,1000,200207,0,15,0,1,1,201312,3,1,2,0,12,44894,177,177,,
10584319,SOUTH PLAINFIELD HIGH SCHOOL BOOSTERS OF THE MUSICAL ARTS,% SOUTH PLAINFIELD HIGH SCHOOL,200 LAKE ST,S PLAINFIELD,NJ,07080-3627,0,3,3,1200,200306,1,16,0,5,1,201306,2,3,2,0,6,11138,33152,14747,B112,
10585109,CAFE & ORQUIDEA,% CAFE & ORQUIDEA ORGANIZACION COL,4511 NEW YORK AVENUE SUITE 25A,UNION CITY,NJ,07087-2703,0,3,3,1000,200509,1,16,0,1,1,201312,0,0,2,0,12,0,0,0,A23,
10587183,WILLIAMSTOWN HIGH SCHOOL PROJECT GRADUATION INC,% A MUNCH,700 N TUCKAHOE RD,WILLIAMSTOWN,NJ,08094-3512,0,3,3,1000,200301,1,15,0,1,1,201306,2,3,1,0,6,17808,62085,-9,B11,
10588037,SUMMIT ANIMAL RESCUE ASSOCIATION INC,% BARBARA E DURANT,PO BOX 124,BERKELEY HTS,NJ,07922-0124,0,3,3,1000,200205,1,15,0,1,1,201312,3,4,1,0,12,97922,154762,137116,D20,
10588839,MIDDLETOWN TOWNSHIP CULTURAL AND AR TS COUNCIL,% ROSEMARIE D PETERS,36 CHURCH ST,MIDDLETOWN,NJ,07748-2511,0,3,3,1000,200204,1,15,0,1,1,201212,4,5,1,0,12,204708,565810,559481,A26,
10595189,PENNSVILLE WRESTLING ASSOCIATION,% MELANIE THOMPSON,233 S BROADWAY A-1,PENNSVILLE,NJ,08070-2737,0,3,3,2000,200301,1,15,0,5,1,201312,0,0,2,0,12,0,0,0,N60,
10597921,UNITED STATES WAR DOGS ASSOCIATION INC,% RONALD L AIELLO,1313 MOUNT HOLLY RD,BURLINGTON,NJ,08016-3733,0,19,3,1000,200207,1,0,0,1,1,201312,4,4,1,0,12,397934,318585,318585,W30,
10598493,INTERNATIONAL SKATING PROGRAM INC,% BORIS CHAIT,1000 RT 9,WOODBRIDGE,NJ,07095-1215,0,3,3,1000,200404,1,15,0,1,1,201312,2,4,1,0,12,11262,345755,345755,N68,
10601606,AMERICAN INTERNATIONAL SCHOOL OF BAMAKO FOUNDATION,% ISS,PO BOX 5910,PRINCETON,NJ,08543-5910,0,3,3,1000,200204,1,16,0,1,1,201307,5,6,1,0,7,549370,2243031,2243031,T30,
10603211,ASSEMBLEIA DE DEUS VIDA INC,% ARACY FERNANDES BROWN,PO BOX 2284,ELIZABETH,NJ,07207-2284,0,3,3,7000,200312,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10607013,MUSLIM AMERICAN COMMUNITY ASSOCIATION INC,% ZIA U RAHMAN,15 WOODSTONE DR,VOORHEES,NJ,08043-4735,0,3,3,1000,200210,1,10,0,1,1,,0,0,6,0,12,,,,X40,
10611038,TENAFLY TIGERS HOCKEY CLUB INC,,125 MAGNOLIA AVE,TENAFLY,NJ,07670-1849,0,3,3,2000,200502,1,16,0,1,1,201308,3,3,2,0,8,34512,41332,38588,N60,
10613126,MAKE A CHILD SMILE FOUNDATION A NEW JERSEY NON-PROFIT CORPORATION,% MICHAEL A FOX,912 CHANTICLEER,CHERRY HILL,NJ,08003-4801,0,3,3,1000,200503,1,15,0,1,1,201112,0,0,2,0,12,0,0,0,P58,
10613896,ORPHAN SPONSORSHIP INTERNATIONAL,% NICHOLAS TUMMILLO JR,2 DEVON CT,ROBBINSVILLE,NJ,08691-3101,0,3,3,1000,200403,1,16,0,1,1,201212,2,3,2,0,12,22313,49838,49838,P30,
10615787,WEST PATERSON MEMORIAL HOME & SCHOOL ASSOCIATION INC,% GINA WINTERMUTE,15 MEMORIAL DR,WOODLAND PARK,NJ,07424-2514,0,3,3,1200,200209,1,15,0,1,1,201406,0,0,2,0,6,0,0,0,B129,
10617949,A-TEAM MOTOR SPORTS FOUNDATION INC,% EUGENE G STRAVINSKI II,2365 STATE HWY 33,ROBBINSVILLE,NJ,08691-1407,0,3,3,1000,200209,1,15,0,1,1,201209,1,0,2,0,9,1,0,0,M42,
10618643,SHRINERS INTERNATIONAL,% CRESCENT SHRINERS,700 HIGHLAND DR,WESTAMPTON,NJ,08060-5125,229,10,9,1000,194011,1,0,36000000,5,1,,0,0,1,0,12,,,,,GOLF SHRINE CLUB
10619386,2301908 MARLBORO TOWNSHIP SOUTH LL,% VINCENT LENZA,PO BOX 7,MORGANVILLE,NJ,07751-0007,3158,3,9,1000,196701,1,15,321059000,1,1,201209,4,4,1,0,9,483050,222361,222361,,2301908 MARLBORO TOWNSHIP SOUTH LL
10619649,MILDRED HELMS PARK RESURRECTION COMMITTEE INC,% JAMES O CRAWFORD,13 MULFORD PL,NEWARK,NJ,07112-1903,0,3,3,1000,201305,1,15,0,1,1,201312,1,3,2,0,12,1,31984,31984,C99,
10620100,BNOS RIVKA INC,,1115 CROSS ST,LAKEWOOD,NJ,08701-4008,0,3,3,7200,200211,1,10,0,1,1,,0,0,6,0,8,,,,X30,
10621556,THE GILL ST BERNARD PARENTS ASSOCIATION INC,,PO BOX 604,GLADSTONE,NJ,07934-0604,0,3,3,2000,200207,1,17,0,1,1,201306,3,3,1,0,6,36913,99497,55836,B11,
10622078,MUSLIM WOMENS COALITION,% TASNEEM SHAMIN,1283 STATE HIGHWAY 27,SOMERSET,NJ,08873-5053,0,3,3,1000,200411,1,15,0,1,1,201212,1,2,2,0,12,4647,20952,20952,T30,
10625542,SALEM HEALTH AND WELLNESS FOUNDATION INC,% BRENDA L GOINS EX DIRECTOR,91 S VIRGINIA AVE STE A,CARNEYS POINT,NJ,08069-1765,0,3,3,1000,200209,1,15,0,1,1,201312,9,8,1,0,12,61961269,42440526,1823237,E120,
10626708,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,900 BEACH BLVD,FORKED RIVER,NJ,08731-5225,1156,8,9,1000,195110,1,0,279265000,5,1,201403,4,5,1,0,3,104062,528194,128094,,2518 LACEY
10626929,CEDAR HILL HOME & SCHOOL CORP,% MERYL SIERADZKY TREASURER,PO BOX 444,TOWACO,NJ,07082-0444,0,3,3,1200,200411,1,16,0,1,1,201308,2,4,1,0,8,24261,110880,47885,B94,
10628055,GENABLE INC,% BRENDA REDIESS-HOOSEIN,PO BOX 82,LIBERTY COR,NJ,07938-0082,0,3,3,2000,200609,1,15,0,1,1,201212,0,0,2,0,12,0,0,0,P80,
10631614,EAST ORANGE CATHOLIC HIGH SCHOOL ALUMNAE ASSOCIATION INC,% MARY ANNE MCDONALD,PO BOX 62,MONTVILLE,NJ,07045-0062,0,3,3,1200,200508,1,15,0,1,1,201212,2,2,2,0,12,11548,10847,10847,B82,
10633472,UNION GOSPEL TABERNACLE OF NEWARK INC,% KENNETH TOWNSEND SR,PO BOX 3245,NEWARK,NJ,07103-0245,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10633982,CENTRAL JERSEY LACROSSE INC,% STEPHEN SHINNERS,106 COACHMAN DR N,FREEHOLD,NJ,07728-3153,0,3,3,1000,200610,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,N64,
10634308,RIVERSIDE SCHOOL PARENT TEACHER ORGANIZATION INC,% NICHOLAS KARP,58 RIVERSIDE DR,PRINCETON,NJ,08540-5498,0,3,3,1200,200301,1,15,0,1,1,201306,3,3,1,0,6,50155,59459,41741,B94,RIVERSIDE SCHOOL
10636574,THE GEORGE JOAN AND JACK SHUSTER FO UNDATION INC,% JACOB SHUSTER,1840 FRONTAGE RD APT 1006,CHERRY HILL,NJ,08034-2204,0,3,3,1000,200207,1,4,0,1,1,201312,6,5,0,1,12,3178096,644969,,T90,
10638275,GGWANGA MUJJE NY-NJ INC,% WYCLIFFE LULE-MUSOKE,1006 PARK AVE,PLAINFIELD,NJ,07060-3029,0,3,3,1000,200302,1,16,0,1,1,201212,1,1,2,0,12,4771,9877,9877,A23,
10639923,NORTH JERSEY CIVIL WAR ROUND TABLE,% RICH ROSENTHAL,3 CAMBRIDGE RD,MORRIS PLAINS,NJ,07950-1511,0,3,3,1000,200204,1,16,0,1,1,201312,0,0,2,0,12,0,0,0,A80,
10641444,POP WARNER LITTLE SCHOLARS INC,% MICHAEL BRUNO,PO BOX 5805,CLARK,NJ,07066-5805,9183,3,9,2000,199402,1,15,317000000,1,1,201312,2,4,1,0,12,10936,123039,68616,N65,CLARK POP WARNER FOOTBALL
10641661,DEITCHMAN CHARITABLE FOUNDATION INC,% MARTIN J DEITCHMAN,14 TANGLEWOOD DR,TITUSVILLE,NJ,08560-1411,0,3,3,1000,200204,1,4,0,1,1,201211,4,1,0,1,11,141975,6902,,T22,
10641860,LAKEWOOD OUTREACH MINISTRY CHURCH,% LEE TUCKER,1331 VENTURA DR,LAKEWOOD,NJ,08701-2262,0,3,3,7000,200208,1,10,0,1,1,201312,1,3,6,0,12,4459,45182,45182,X21,
10642350,TOASTMASTERS INTERNATIONAL,% LORRAINE M CAMPBELL,PO BOX 1623,RAHWAY,NJ,07065-7623,820,3,9,2000,194505,0,16,59319000,5,1,201312,0,0,2,0,12,0,0,0,,8349 IMPACT 21 CLUB
10644543,KANG EUN PRESBYTERIAN CHURCH,,18 ENGLE ST APT 9D,TENAFLY,NJ,07670-2826,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10644643,JOETTA CLARK DIGGS SPORTS FOUNDATION INC,% JOETTA CLARK DIGGS,PO BOX 6262,HILLSBOROUGH,NJ,08844-6262,0,3,3,1000,200301,1,4,0,1,25,201312,1,4,0,1,12,8463,125272,,N30,
10645917,SWAN CREEK ROWING CLUB,% GAIL BROCK,PO BOX 153,LAMBERTVILLE,NJ,08530-0153,0,7,3,1000,200401,2,0,0,1,1,201312,0,0,2,0,12,0,0,0,N67,
10659307,JEFFERSON PARK MINISTRIES INC,% ALEX ELIE,PO BOX 163,ELIZABETH,NJ,07207-0163,0,3,3,1270,200310,1,15,0,1,1,201212,4,5,1,0,12,122657,765962,765962,K34,JPM INC
10659365,SANTISUKHA BUDDHIST MEDITATION CENTER INC,% YOUN CHA CHOI,R2 SEMEL AVENUE,GARFIELD,NJ,07026-0000,0,3,3,7000,200305,1,10,0,1,1,,0,0,6,0,12,,,,X50,
10660247,WILLIAM J MARTIN FOUNDATION INC,% LAURA DAVIS,161 ESPANONG RD,LK HOPATCONG,NJ,07849-1701,0,3,3,2000,200209,1,4,0,1,1,201312,4,2,0,3,12,150807,18117,,B82,
10660264,TEAM ACADEMY CHARTER SCHOOL INC,% RYAN HILL,85 CUSTER AVE,NEWARK,NJ,07112-2511,0,3,3,2000,200501,1,11,0,1,1,201306,8,8,1,0,6,12094350,39891786,39891786,B29,
10663336,MARK A SIROLLI SCHOLARSHIP FUND,% PEG SIROLLI,504 FLEMING PIKE,HAMMONTON,NJ,08037-2525,0,3,3,1000,200607,1,4,0,1,1,201312,2,2,0,1,12,14491,16593,,B82,SIROLLI MARGARET
10664264,TRI-ARC COMMUNITY DEVELOPMENT CORPORATION,% TRINITY BAPTIST CHURCH,218 PASSAIC ST,HACKENSACK,NJ,07601-3525,0,3,3,1000,201409,1,15,0,1,1,201212,0,0,2,0,12,0,0,0,S20,
10665720,ERNST WESSEL FOUNDATION INC,% ANNE FOX VITALE,449 METLARS LN,PISCATAWAY,NJ,08854-5705,0,3,3,1000,200205,1,4,0,1,1,201312,5,1,0,1,12,523635,8071,,T20,
10666288,KIWANIS CLUB OF GLOUCESTER TOWNSHIP BLACKWOOD FOUNDATION INC,% WILLIAM E SAMPEY,241 KEYSTONE AVE,BLACKWOOD,NJ,08012-4709,0,3,3,1000,200212,1,4,0,1,1,201309,4,2,0,3,9,265675,17174,,P20,
10667013,NORTH HOWELL YOUTH SPORTS ASSOCIATION INC,% FRANK URSO,275 AMBIANCE BLVD,FREEHOLD,NJ,07728-8892,0,3,3,2000,200305,1,16,0,1,1,201309,0,0,2,0,9,0,0,0,N63,
10674634,GREATER DELIVERANCE CHURCH,% REV NATHANIEL FLOYD JR,46 VANCE AVE,SICKLERVILLE,NJ,08081-5502,0,3,3,7000,200304,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10675309,DDMBA NJ INC,% SUSY HSING ENG,789 JERSEY AVE,NEW BRUNSWICK,NJ,08901-3624,0,3,3,7100,200405,1,10,0,1,1,201212,4,4,6,0,12,402820,340826,330095,X70,
10677851,LA LECHE LEAGUE INTERNATIONAL INC,% DIANE JEFFER,1 BIRCH RIDGE RD,GREAT MEADOWS,NJ,07838-2703,3130,3,9,2100,197902,1,16,59120000,5,1,201403,0,0,2,0,3,0,0,0,,LLL OF HACKETTSTOWN NORTH
10680936,AMERICAN INTERNATIONAL SCHOOL OF RIYADH FOUNDATION,% ISS,PO BOX 5910,PRINCETON,NJ,08543-5910,0,3,3,2100,200209,1,15,0,1,1,201406,0,0,2,0,6,0,0,0,B12,
10681915,PREVAILING ROCK CHURCH INC,% MARINI & ASSOCIATES,191 WOODPORT RD STE 205,SPARTA,NJ,07871-2641,0,3,3,7000,200504,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10682278,COMBATT INC,% RHONDA UTLEY-HERRING,1763 6TH ST,EWING,NJ,08638-3005,0,3,3,1000,200210,1,15,0,1,1,201309,2,2,2,0,9,16752,17775,17509,N70,
10682831,RESURRECTION COMMUNITY CHURCH,% LORI FAIR,200 ATRIUM DR,SOMERSET,NJ,08873-4103,0,3,3,7000,200212,1,10,0,1,1,,0,0,6,0,11,,,,X21,
10683241,VOPICKA FAMILY FOUNDATION INC,% ROBERT J GAUGHRAN TTEE,PO BOX 4151,MIDDLETOWN,NJ,07748-4151,0,3,3,1000,200307,1,4,0,1,1,201309,5,3,0,1,9,580076,49124,,T20,
10685250,PARTNERS WITH JESUS CHRIST WORSHIP CENTER,% ALVIN G WATFORD,PO BOX 2020,WILLINGBORO,NJ,08046-6120,0,3,3,1000,200404,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10685306,BRIDGEWATER JUNIOR PANTHERS INC,% DAVID M MONAHAN JR,10 PRESIDENTS DR,BRIDGEWATER,NJ,08807-6102,0,3,3,1000,200305,1,16,0,1,1,201404,0,0,2,0,4,0,0,0,N68,
10685362,TARYAG LEGACY FOUNDATION INC,% ACCOUNTING OFFICE,1136 SOMERSET AVE,LAKEWOOD,NJ,08701-2138,0,3,3,2000,200308,1,16,0,1,1,201112,6,6,0,0,12,3712834,1071077,1071077,A33,
10687195,PROMOTING ACADEMICS THROUGH SPORT SUCCESS,% SHAWN EVANS,1452 PARKVIEW TER,HILLSIDE,NJ,07205-1507,0,3,3,1000,200407,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,O20,P A S S
10687526,LAKE HIAWATHA SWIM CLUB INC,% BETH HOFFER,PO BOX 125,LAKE HIAWATHA,NJ,07034-0125,0,3,3,1000,200206,1,16,0,1,1,201312,4,4,1,0,12,100129,148166,148166,N67,
